Date,AAPL,MSFT
9/29/17,154.12,74.49
9/28/17,153.28,73.87
9/27/17,154.23,73.85
9/26/17,153.14,73.26
9/25/17,150.55,73.26
9/22/17,151.89,74.41
9/21/17,153.39,74.21
9/20/17,156.07,74.94
9/19/17,158.73,75.44
9/18/17,158.67,75.16
9/15/17,159.88,75.31
9/14/17,158.28,74.77
9/13/17,159.65,75.21
9/12/17,160.86,74.68
9/11/17,161.5,74.76
9/8/17,158.63,73.98
9/7/17,161.26,74.34
9/6/17,161.91,73.4
9/5/17,162.08,73.61
9/1/17,164.05,73.94
8/31/17,164,74.77
8/30/17,163.35,74.01
8/29/17,162.91,73.05
8/28/17,161.47,72.83
8/25/17,159.86,72.82
8/24/17,159.27,72.69
8/23/17,159.98,72.72
8/22/17,159.78,73.16
8/21/17,157.21,72.15
8/18/17,157.5,72.49
8/17/17,157.86,72.4
8/16/17,160.95,73.65
8/15/17,161.6,73.22
8/14/17,159.85,73.59
8/11/17,157.48,72.5
8/10/17,155.32,71.41
8/9/17,161.06,72.47
8/8/17,160.08,72.79
8/7/17,158.81,72.4
8/4/17,156.39,72.68
8/3/17,155.57,72.15
8/2/17,157.14,72.26
8/1/17,150.05,72.58
7/31/17,148.73,72.7
7/28/17,149.5,73.04
7/27/17,150.56,73.16
7/26/17,153.46,74.05
7/25/17,152.74,74.19
7/24/17,152.09,73.6
7/21/17,150.27,73.79
7/20/17,150.34,74.22
7/19/17,151.02,73.86
7/18/17,150.08,73.3
7/17/17,149.56,73.35
7/14/17,149.04,72.78
7/13/17,147.77,71.77
7/12/17,145.74,71.15
7/11/17,145.53,69.99
7/10/17,145.06,69.98
7/7/17,144.18,69.46
7/6/17,142.73,68.57
7/5/17,144.09,69.08
7/3/17,143.5,68.17
6/30/17,144.02,68.93
6/29/17,143.68,68.49
6/28/17,145.83,69.8
6/27/17,143.73,69.21
6/26/17,145.82,70.53
6/23/17,146.28,71.21
6/22/17,145.63,70.26
6/21/17,145.87,70.27
6/20/17,145.01,69.91
6/19/17,146.34,70.87
6/16/17,142.27,70
6/15/17,144.29,69.9
6/14/17,145.16,70.27
6/13/17,146.59,70.65
6/12/17,145.42,69.78
6/9/17,148.98,70.32
6/8/17,154.99,71.95
6/7/17,155.37,72.39
6/6/17,154.45,72.52
6/5/17,153.93,72.28
6/2/17,155.45,71.76
6/1/17,153.18,70.1
5/31/17,152.76,69.84
5/30/17,153.67,70.41
5/26/17,153.61,69.96
5/25/17,153.87,69.62
5/24/17,153.34,68.77
5/23/17,153.8,68.68
5/22/17,153.99,68.45
5/19/17,153.06,67.69
5/18/17,152.54,67.71
5/17/17,150.25,67.48
5/16/17,155.47,69.41
5/15/17,155.7,68.43
5/12/17,156.1,68.38
5/11/17,153.95,68.46
5/10/17,153.26,69.31
5/9/17,153.99,69.04
5/8/17,153.01,68.94
5/5/17,148.96,69
5/4/17,146.53,68.81
5/3/17,147.06,69.08
5/2/17,147.51,69.3
5/1/17,146.58,69.41
4/28/17,143.65,68.46
4/27/17,143.79,68.27
4/26/17,143.68,67.83
4/25/17,144.53,67.92
4/24/17,143.64,67.53
4/21/17,142.27,66.4
4/20/17,142.44,65.5
4/19/17,140.68,65.04
4/18/17,141.2,65.39
4/17/17,141.83,65.48
4/13/17,141.05,64.95
4/12/17,141.8,65.23
4/11/17,141.63,65.48
4/10/17,143.17,65.53
4/7/17,143.34,65.68
4/6/17,143.66,65.73
4/5/17,144.02,65.56
4/4/17,144.77,65.73
4/3/17,143.7,65.55
3/31/17,143.66,65.86
3/30/17,143.93,65.71
3/29/17,144.12,65.47
3/28/17,143.8,65.29
3/27/17,140.88,65.1
3/24/17,140.64,64.98
3/23/17,140.92,64.87
3/22/17,141.42,65.03
3/21/17,139.84,64.21
3/20/17,141.46,64.93
3/17/17,139.99,64.87
3/16/17,140.69,64.64
3/15/17,140.46,64.75
3/14/17,138.99,64.41
3/13/17,139.2,64.71
3/10/17,139.14,64.93
3/9/17,138.68,64.73
3/8/17,139,64.99
3/7/17,139.52,64.4
3/6/17,139.34,64.27
3/3/17,139.78,64.25
3/2/17,138.96,64.01
3/1/17,139.79,64.94
2/28/17,136.99,63.98
2/27/17,136.93,64.23
2/24/17,136.66,64.62
2/23/17,136.53,64.62
2/22/17,137.11,64.36
2/21/17,136.7,64.49
2/17/17,135.72,64.62
2/16/17,135.345,64.52
2/15/17,135.51,64.53
2/14/17,135.02,64.57
2/13/17,133.29,64.72
2/10/17,132.12,64
2/9/17,132.42,64.06
2/8/17,132.04,63.34
2/7/17,131.53,63.43
2/6/17,130.29,63.64
2/3/17,129.08,63.68
2/2/17,128.53,63.17
2/1/17,128.75,63.58
1/31/17,121.35,64.65
1/30/17,121.63,65.13
1/27/17,121.95,65.78
1/26/17,121.94,64.27
1/25/17,121.88,63.68
1/24/17,119.97,63.52
1/23/17,120.08,62.96
1/20/17,120,62.74
1/19/17,119.78,62.3
1/18/17,119.99,62.5
1/17/17,120,62.53
1/13/17,119.04,62.7
1/12/17,119.25,62.61
1/11/17,119.75,63.19
1/10/17,119.11,62.62
1/9/17,118.99,62.64
1/6/17,117.91,62.84
1/5/17,116.61,62.3
1/4/17,116.02,62.3
1/3/17,116.15,62.58
12/30/16,115.82,62.14
12/29/16,116.73,62.9
12/28/16,116.76,62.99
12/27/16,117.26,63.28
12/23/16,116.52,63.24
12/22/16,116.29,63.55
12/21/16,117.06,63.54
12/20/16,116.95,63.54
12/19/16,116.64,63.62
12/16/16,115.97,62.3
12/15/16,115.82,62.58
12/14/16,115.19,62.68
12/13/16,115.19,62.98
12/12/16,113.3,62.17
12/9/16,113.95,61.97
12/8/16,112.12,61.01
12/7/16,111.03,61.37
12/6/16,109.95,59.95
12/5/16,109.11,60.22
12/2/16,109.9,59.25
12/1/16,109.49,59.2
11/30/16,110.52,60.26
11/29/16,111.46,61.09
11/28/16,111.57,60.61
11/25/16,111.79,60.53
11/23/16,111.23,60.4
11/22/16,111.8,61.12
11/21/16,111.73,60.86
11/18/16,110.06,60.35
11/17/16,109.95,60.64
11/16/16,109.99,59.65
11/15/16,107.11,58.87
11/14/16,105.71,58.12
11/11/16,108.43,59.02
11/10/16,107.79,58.7
11/9/16,110.88,60.17
11/8/16,111.06,60.47
11/7/16,110.41,60.42
11/4/16,108.84,58.71
11/3/16,109.83,59.21
11/2/16,111.59,59.43
11/1/16,111.49,59.8
10/31/16,113.54,59.92
10/28/16,113.72,59.87
10/27/16,114.48,60.1
10/26/16,115.59,60.63
10/25/16,118.25,60.99
10/24/16,117.65,61
10/21/16,116.6,59.66
10/20/16,117.06,57.25
10/19/16,117.12,57.53
10/18/16,117.47,57.66
10/17/16,117.55,57.22
10/14/16,117.63,57.42
10/13/16,116.98,56.92
10/12/16,117.34,57.11
10/11/16,116.3,57.19
10/10/16,116.05,58.04
10/7/16,114.06,57.8
10/6/16,113.89,57.74
10/5/16,113.05,57.64
10/4/16,113,57.24
10/3/16,112.52,57.42
9/30/16,113.05,57.6
9/29/16,112.18,57.4
9/28/16,113.95,58.03
9/27/16,113.09,57.95
9/26/16,112.88,56.9
9/23/16,112.71,57.43
9/22/16,114.62,57.82
9/21/16,113.55,57.76
9/20/16,113.57,56.81
9/19/16,113.58,56.93
9/16/16,114.92,57.25
9/15/16,115.57,57.19
9/14/16,111.77,56.26
9/13/16,107.95,56.53
9/12/16,105.44,57.05
9/9/16,103.13,56.21
9/8/16,105.52,57.43
9/7/16,108.36,57.66
9/6/16,107.7,57.61
9/2/16,107.73,57.67
9/1/16,106.73,57.59
8/31/16,106.1,57.46
8/30/16,106,57.89
8/29/16,106.82,58.1
8/26/16,106.94,58.03
8/25/16,107.57,58.17
8/24/16,108.03,57.95
8/23/16,108.85,57.89
8/22/16,108.51,57.67
8/19/16,109.36,57.62
8/18/16,109.08,57.6
8/17/16,109.22,57.56
8/16/16,109.38,57.44
8/15/16,109.48,58.12
8/12/16,108.18,57.94
8/11/16,107.93,58.3
8/10/16,108,58.02
8/9/16,108.81,58.2
8/8/16,108.37,58.06
8/5/16,107.48,57.96
8/4/16,105.87,57.39
8/3/16,105.79,56.97
8/2/16,104.48,56.58
8/1/16,106.05,56.58
7/29/16,104.21,56.68
7/28/16,104.34,56.21
7/27/16,102.95,56.19
7/26/16,96.67,56.76
7/25/16,97.34,56.73
7/22/16,98.66,56.57
7/21/16,99.43,55.8
7/20/16,99.96,55.91
7/19/16,99.87,53.09
7/18/16,99.83,53.96
7/15/16,98.78,53.7
7/14/16,98.79,53.74
7/13/16,96.87,53.51
7/12/16,97.42,53.21
7/11/16,96.98,52.59
7/8/16,96.68,52.3
7/7/16,95.94,51.38
7/6/16,95.53,51.38
7/5/16,94.99,51.17
7/1/16,95.89,51.16
6/30/16,95.6,51.17
6/29/16,94.4,50.54
6/28/16,93.59,49.44
6/27/16,92.04,48.43
6/24/16,93.4,49.83
6/23/16,96.1,51.91
6/22/16,95.55,50.99
6/21/16,95.91,51.19
6/20/16,95.1,50.07
6/17/16,95.33,50.13
6/16/16,97.55,50.39
6/15/16,97.14,49.69
6/14/16,97.46,49.83
6/13/16,97.34,50.14
6/10/16,98.83,51.48
6/9/16,99.65,51.62
6/8/16,98.94,52.04
6/7/16,99.03,52.1
6/6/16,98.63,52.13
6/3/16,97.92,51.79
6/2/16,97.72,52.48
6/1/16,98.46,52.85
5/31/16,99.86,53
5/27/16,100.35,52.32
5/26/16,100.41,51.89
5/25/16,99.62,52.12
5/24/16,97.9,51.59
5/23/16,96.43,50.03
5/20/16,95.22,50.62
5/19/16,94.2,50.32
5/18/16,94.56,50.81
5/17/16,93.49,50.51
5/16/16,93.88,51.83
5/13/16,90.52,51.08
5/12/16,90.34,51.51
5/11/16,92.51,51.05
5/10/16,93.42,51.02
5/9/16,92.79,50.07
5/6/16,92.72,50.39
5/5/16,93.24,49.94
5/4/16,94.19,49.87
5/3/16,95.18,49.78
5/2/16,93.64,50.61
4/29/16,93.74,49.87
4/28/16,94.83,49.9
4/27/16,97.82,50.94
4/26/16,104.35,51.44
4/25/16,105.08,52.11
4/22/16,105.68,51.78
4/21/16,105.97,55.78
4/20/16,107.13,55.59
4/19/16,106.91,56.39
4/18/16,107.48,56.46
4/15/16,109.85,55.65
4/14/16,112.1,55.36
4/13/16,112.04,55.35
4/12/16,110.44,54.65
4/11/16,109.02,54.31
4/8/16,108.66,54.42
4/7/16,108.54,54.46
4/6/16,110.96,55.12
4/5/16,109.81,54.56
4/4/16,111.12,55.43
4/1/16,109.99,55.57
3/31/16,108.99,55.23
3/30/16,109.56,55.05
3/29/16,107.68,54.71
3/28/16,105.19,53.54
3/24/16,105.67,54.21
3/23/16,106.13,53.97
3/22/16,106.72,54.07
3/21/16,105.91,53.86
3/18/16,105.92,53.49
3/17/16,105.8,54.66
3/16/16,105.97,54.35
3/15/16,104.58,53.59
3/14/16,102.52,53.17
3/11/16,102.26,53.07
3/10/16,101.17,52.05
3/9/16,101.12,52.84
3/8/16,101.03,51.65
3/7/16,101.87,51.03
3/4/16,103.01,52.03
3/3/16,101.5,52.35
3/2/16,100.75,52.95
3/1/16,100.53,52.58
2/29/16,96.69,50.88
2/26/16,96.91,51.3
2/25/16,96.76,52.1
2/24/16,96.1,51.36
2/23/16,94.69,51.18
2/22/16,96.88,52.65
2/19/16,96.04,51.82
2/18/16,96.26,52.19
2/17/16,98.12,52.42
2/16/16,96.64,51.09
2/12/16,93.99,50.5
2/11/16,93.7,49.69
2/10/16,94.27,49.71
2/9/16,94.99,49.28
2/8/16,95.01,49.41
2/5/16,94.02,50.16
2/4/16,96.6,52
2/3/16,96.35,52.16
2/2/16,94.48,53
2/1/16,96.43,54.71
1/29/16,97.34,55.09
1/28/16,94.09,52.055
1/27/16,93.42,51.22
1/26/16,99.99,52.17
1/25/16,99.44,51.79
1/22/16,101.42,52.29
1/21/16,96.3,50.48
1/20/16,96.79,50.79
1/19/16,96.66,50.56
1/15/16,97.13,50.99
1/14/16,99.52,53.11
1/13/16,97.39,51.64
1/12/16,99.96,52.78
1/11/16,98.53,52.3
1/8/16,96.96,52.33
1/7/16,96.45,52.17
1/6/16,100.7,54.05
1/5/16,102.71,55.05
1/4/16,105.35,54.8
12/31/15,105.26,55.48
12/30/15,107.32,56.31
12/29/15,108.74,56.55
12/28/15,106.82,55.95
12/24/15,108.03,55.67
12/23/15,108.61,55.82
12/22/15,107.23,55.35
12/21/15,107.33,54.83
12/18/15,106.03,54.13
12/17/15,108.98,55.7
12/16/15,111.34,56.13
12/15/15,110.49,55.2
12/14/15,112.48,55.14
12/11/15,113.18,54.06
12/10/15,116.17,55.27
12/9/15,115.62,54.98
12/8/15,118.23,55.79
12/7/15,118.28,55.81
12/4/15,119.03,55.91
12/3/15,115.2,54.2
12/2/15,116.28,55.21
12/1/15,117.34,55.22
11/30/15,118.3,54.35
11/27/15,117.81,53.93
11/25/15,118.03,53.69
11/24/15,118.88,54.25
11/23/15,117.75,54.19
11/20/15,119.3,54.19
11/19/15,118.78,53.94
11/18/15,117.29,53.85
11/17/15,113.69,52.97
11/16/15,114.175,53.765
11/13/15,112.34,52.84
11/12/15,115.72,53.32
11/11/15,116.11,53.65
11/10/15,116.77,53.51
11/9/15,120.57,54.16
11/6/15,121.06,54.92
11/5/15,120.92,54.38
11/4/15,122,54.4
11/3/15,122.57,54.15
11/2/15,121.18,53.24
10/30/15,119.5,52.64
10/29/15,120.53,53.36
10/28/15,119.27,53.98
10/27/15,114.55,53.69
10/26/15,115.28,54.25
10/23/15,119.08,52.87
10/22/15,115.5,48.03
10/21/15,113.76,47.2
10/20/15,113.77,47.77
10/19/15,111.73,47.62
10/16/15,111.04,47.51
10/15/15,111.86,47.01
10/14/15,110.21,46.68
10/13/15,111.79,46.89
10/12/15,111.6,47
10/9/15,112.12,47.11
10/8/15,109.5,47.45
10/7/15,110.78,46.8
10/6/15,111.31,46.75
10/5/15,110.78,46.63
10/2/15,110.38,45.57
10/1/15,109.58,44.61
9/30/15,110.3,44.26
9/29/15,109.06,43.44
9/28/15,112.44,43.29
9/25/15,114.71,43.94
9/24/15,115,43.91
9/23/15,114.32,43.87
9/22/15,113.4,43.9
9/21/15,115.21,44.11
9/18/15,113.45,43.48
9/17/15,113.92,44.25
9/16/15,116.41,44.3
9/15/15,116.28,43.98
9/14/15,115.31,43.04
9/11/15,114.21,43.48
9/10/15,112.57,43.29
9/9/15,110.15,43.07
9/8/15,112.31,43.89
9/4/15,109.27,42.61
9/3/15,110.37,43.5
9/2/15,112.34,43.36
9/1/15,107.72,41.82
8/31/15,112.76,43.52
8/28/15,113.29,43.93
8/27/15,112.92,43.9
8/26/15,109.69,42.71
8/25/15,103.74,40.47
8/24/15,103.12,41.68
8/21/15,105.76,43.07
8/20/15,112.65,45.66
8/19/15,115.01,46.61
8/18/15,116.5,47.27
8/17/15,117.16,47.32
8/14/15,115.96,47
8/13/15,115.15,46.73
8/12/15,115.24,46.74
8/11/15,113.49,46.41
8/10/15,119.72,47.33
8/7/15,115.52,46.74
8/6/15,115.13,46.62
8/5/15,115.4,47.58
8/4/15,114.64,47.54
8/3/15,118.44,46.81
7/31/15,121.3,46.7
7/30/15,122.37,46.88
7/29/15,122.99,46.29
7/28/15,123.38,45.34
7/27/15,122.77,45.35
7/24/15,124.5,45.94
7/23/15,125.16,46.11
7/22/15,125.22,45.54
7/21/15,130.75,47.28
7/20/15,132.07,46.92
7/17/15,129.62,46.62
7/16/15,128.51,46.66
7/15/15,126.82,45.76
7/14/15,125.61,45.62
7/13/15,125.66,45.54
7/10/15,123.28,44.61
7/9/15,120.07,44.52
7/8/15,122.57,44.24
7/7/15,125.69,44.3
7/6/15,126,44.39
7/2/15,126.44,44.4
7/1/15,126.6,44.445
6/30/15,125.425,44.15
6/29/15,124.53,44.37
6/26/15,126.75,45.26
6/25/15,127.5,45.65
6/24/15,128.11,45.635
6/23/15,127.03,45.91
6/22/15,127.61,46.23
6/19/15,126.6,46.1
6/18/15,127.88,46.72
6/17/15,127.3,45.97
6/16/15,127.6,45.83
6/15/15,126.92,45.475
6/12/15,127.17,45.97
6/11/15,128.59,46.44
6/10/15,128.88,46.61
6/9/15,127.42,45.65
6/8/15,127.8,45.73
6/5/15,128.65,46.14
6/4/15,129.36,46.36
6/3/15,130.12,46.85
6/2/15,129.96,46.92
6/1/15,130.535,47.23
5/29/15,130.28,46.86
5/28/15,131.78,47.45
5/27/15,132.045,47.61
5/26/15,129.62,46.59
5/22/15,132.54,46.9
5/21/15,131.39,47.42
5/20/15,130.06,47.58
5/19/15,130.07,47.58
5/18/15,130.19,48.01
5/15/15,128.77,48.295
5/14/15,128.95,48.72
5/13/15,126.01,47.625
5/12/15,125.865,47.35
5/11/15,126.32,47.37
5/8/15,127.62,47.75
5/7/15,125.26,46.7
5/6/15,125.01,46.28
5/5/15,125.8,47.6
5/4/15,128.7,48.24
5/1/15,128.95,48.655
4/30/15,125.15,48.64
4/29/15,128.64,49.06
4/28/15,130.56,49.155
4/27/15,132.65,48.03
4/24/15,130.28,47.87
4/23/15,129.67,43.34
4/22/15,128.62,42.985
4/21/15,126.91,42.635
4/20/15,127.6,42.905
4/17/15,124.75,41.615
4/16/15,126.17,42.16
4/15/15,126.78,42.255
4/14/15,126.3,41.65
4/13/15,126.85,41.76
4/10/15,127.1,41.72
4/9/15,126.56,41.48
4/8/15,125.6,41.42
4/7/15,126.01,41.53
4/6/15,127.35,41.545
4/2/15,125.32,40.29
4/1/15,124.25,40.72
3/31/15,124.43,40.655
3/30/15,126.37,40.96
3/27/15,123.25,40.97
3/26/15,124.24,41.21
3/25/15,123.38,41.46
3/24/15,126.69,42.9
3/23/15,127.21,42.855
3/20/15,125.9,42.88
3/19/15,127.495,42.285
3/18/15,128.47,42.5
3/17/15,127.04,41.695
3/16/15,124.95,41.56
3/13/15,123.59,41.38
3/12/15,124.45,41.02
3/11/15,122.24,41.98
3/10/15,124.51,42.03
3/9/15,127.14,42.85
3/6/15,126.6,42.36
3/5/15,126.41,43.11
3/4/15,128.54,43.055
3/3/15,129.36,43.28
3/2/15,129.09,43.88
2/27/15,128.46,43.85
2/26/15,130.415,44.055
2/25/15,128.79,43.99
2/24/15,132.17,44.09
2/23/15,133,44.15
2/20/15,129.495,43.855
2/19/15,128.45,43.5
2/18/15,128.715,43.53
2/17/15,127.83,43.58
2/13/15,127.08,43.87
2/12/15,126.46,43.09
2/11/15,124.88,42.38
2/10/15,122.02,42.6
2/9/15,119.72,42.36
2/6/15,118.93,42.41
2/5/15,119.94,42.45
2/4/15,119.56,41.84
2/3/15,118.65,41.6
2/2/15,118.63,41.28
1/30/15,117.16,40.4
1/29/15,118.9,42.01
1/28/15,115.31,41.19
1/27/15,109.14,42.66
1/26/15,113.1,47.01
1/23/15,112.98,47.18
1/22/15,112.4,47.13
1/21/15,109.55,45.92
1/20/15,108.72,46.39
1/16/15,105.99,46.24
1/15/15,106.82,45.48
1/14/15,109.8,45.955
1/13/15,110.22,46.355
1/12/15,109.25,46.6
1/9/15,112.01,47.19
1/8/15,111.89,47.59
1/7/15,107.75,46.23
1/6/15,106.26,45.65
1/5/15,106.25,46.325
1/2/15,109.33,46.76
12/31/14,110.38,46.45
12/30/14,112.52,47.02
12/29/14,113.91,47.45
12/26/14,113.99,47.88
12/24/14,112.01,48.14
12/23/14,112.54,48.45
12/22/14,112.94,47.98
12/19/14,111.78,47.66
12/18/14,112.65,47.52
12/17/14,109.41,45.74
12/16/14,106.745,45.16
12/15/14,108.225,46.67
12/12/14,109.73,46.95
12/11/14,111.62,47.17
12/10/14,111.95,46.9
12/9/14,114.12,47.59
12/8/14,112.4,47.695
12/5/14,115,48.42
12/4/14,115.49,48.84
12/3/14,115.93,48.08
12/2/14,114.63,48.46
12/1/14,115.07,48.62
11/28/14,118.93,47.81
11/26/14,119,47.75
11/25/14,117.6,47.47
11/24/14,118.625,47.59
11/21/14,116.47,47.98
11/20/14,116.31,48.7
11/19/14,114.67,48.22
11/18/14,115.47,48.74
11/17/14,113.99,49.46
11/14/14,114.18,49.58
11/13/14,112.82,49.61
11/12/14,111.25,48.78
11/11/14,109.7,48.87
11/10/14,108.83,48.89
11/7/14,109.01,48.68
11/6/14,108.7,48.7
11/5/14,108.86,47.86
11/4/14,108.6,47.57
11/3/14,109.4,47.44
10/31/14,108,46.95
10/30/14,106.98,46.05
10/29/14,107.34,46.62
10/28/14,106.74,46.49
10/27/14,105.11,45.91
10/24/14,105.22,46.13
10/23/14,104.83,45.02
10/22/14,102.99,44.38
10/21/14,102.47,44.88
10/20/14,99.76,44.08
10/17/14,97.67,43.63
10/16/14,96.26,42.74
10/15/14,97.54,43.22
10/14/14,98.75,43.73
10/13/14,99.81,43.65
10/10/14,100.73,44.03
10/9/14,101.02,45.85
10/8/14,100.8,46.78
10/7/14,98.75,45.53
10/6/14,99.62,46.09
10/3/14,99.62,46.09
10/2/14,99.9,45.76
10/1/14,99.18,45.9
9/30/14,100.75,46.36
9/29/14,100.11,46.44
9/26/14,100.75,46.41
9/25/14,97.87,46.04
9/24/14,101.75,47.08
9/23/14,102.64,46.56
9/22/14,101.06,47.06
9/19/14,100.96,47.52
9/18/14,101.79,46.68
9/17/14,101.58,46.52
9/16/14,100.86,46.76
9/15/14,101.63,46.24
9/12/14,101.66,46.695
9/11/14,101.43,47
9/10/14,101,46.84
9/9/14,97.99,46.76
9/8/14,98.36,46.47
9/5/14,98.97,45.91
9/4/14,98.12,45.26
9/3/14,98.94,44.96
9/2/14,103.3,45.09
8/29/14,102.5,45.43
8/28/14,102.25,44.88
8/27/14,102.13,44.87
8/26/14,100.889,45.005
8/25/14,101.54,45.17
8/22/14,101.32,45.15
8/21/14,100.58,45.22
8/20/14,100.57,44.95
8/19/14,100.53,45.33
8/18/14,99.16,45.11
8/15/14,97.98,44.79
8/14/14,97.5,44.27
8/13/14,97.24,44.08
8/12/14,95.97,43.52
8/11/14,95.99,43.2
8/8/14,94.74,43.2
8/7/14,94.48,43.23
8/6/14,94.96,42.74
8/5/14,95.12,43.08
8/4/14,95.59,43.37
8/1/14,96.13,42.86
7/31/14,95.6,43.16
7/30/14,98.15,43.5785
7/29/14,98.38,43.885
7/28/14,99.02,43.97
7/25/14,97.671,44.5
7/24/14,97.03,44.4
7/23/14,97.19,44.87
7/22/14,94.72,44.83
7/21/14,93.939,44.835
7/18/14,94.43,44.69
7/17/14,93.0899,44.53
7/16/14,94.78,44.08
7/15/14,95.32,42.45
7/14/14,96.45,42.14
7/11/14,95.22,42.09
7/10/14,95.035,41.685
7/9/14,95.39,41.67
7/8/14,95.35,41.78
7/7/14,95.968,41.99
7/3/14,94.03,41.8
7/2/14,93.48,41.9
7/1/14,93.52,41.87
6/30/14,92.93,41.7
6/27/14,91.98,42.25
6/26/14,90.9,41.72
6/25/14,90.36,42.03
6/24/14,90.28,41.745
6/23/14,90.83,41.99
6/20/14,90.91,41.68
6/19/14,91.86,41.51
6/18/14,92.18,41.65
6/17/14,92.08,41.68
6/16/14,92.2,41.5
6/13/14,91.28,41.23
6/12/14,92.29,40.58
6/11/14,93.86,40.86
6/10/14,94.25,41.11
6/9/14,93.7,41.27
6/6/14,92.2243,41.48
6/5/14,92.4786,41.21
6/4/14,92.1171,40.32
6/3/14,91.0771,40.29
6/2/14,89.8071,40.79
5/30/14,90.4286,40.94
5/29/14,90.7686,40.34
5/28/14,89.1443,40.01
5/27/14,89.3757,40.19
5/23/14,87.7329,40.12
5/22/14,86.7529,40.1
5/21/14,86.6157,40.35
5/20/14,86.3871,39.68
5/19/14,86.37,39.75
5/16/14,85.3586,39.83
5/15/14,84.1171,39.6
5/14/14,84.8386,40.24
5/13/14,84.8229,40.42
5/12/14,84.69,39.97
5/9/14,83.6489,39.54
5/8/14,83.9986,39.64
5/7/14,84.6186,39.425
5/6/14,84.9157,39.06
5/5/14,85.8514,39.43
5/2/14,84.6543,39.69
5/1/14,84.4971,40
4/30/14,84.2986,40.4
4/29/14,84.6186,40.51
4/28/14,84.87,40.87
4/25/14,81.7057,39.91
4/24/14,81.11,39.86
4/23/14,74.9643,39.69
4/22/14,75.957,39.99
4/21/14,75.8814,39.94
4/17/14,74.9914,40.01
4/16/14,74.1443,40.4
4/15/14,73.9943,39.75
4/14/14,74.5257,39.18
4/11/14,74.23,39.209
4/10/14,74.7829,39.36
4/9/14,75.76,40.47
4/8/14,74.7771,39.82
4/7/14,74.7814,39.8
4/4/14,75.9743,39.87
4/3/14,76.97,41.01
4/2/14,77.5071,41.35
4/1/14,77.3786,41.42
3/31/14,76.6771,40.99
3/28/14,76.6943,40.3
3/27/14,76.78,39.36
3/26/14,77.1114,39.79
3/25/14,77.8557,40.34
3/24/14,77.0271,40.5
3/21/14,76.1243,40.16
3/20/14,75.5286,40.33
3/19/14,75.8943,39.27
3/18/14,75.9143,39.55
3/17/14,75.2486,38.05
3/14/14,74.9557,37.7
3/13/14,75.8071,37.89
3/12/14,76.6586,38.27
3/11/14,76.5843,38.02
